Rank,country,QualityofLifeIndex,PollutionIndex,SafetyIndex,total,,PollIndex,PurchasingPowerIndex,HealthCareIndex,CostofLivingIndex,PropertyPricetoIncomeRatio,TrafficCommuteTimeIndex,ClimateIndex,colour,continent,region
1,Switzerland,195.27,19.59,78.32,293.18,,51.05,118.44,74.85,123.35,8.29,28.5,80.21,#7172ad,europe,europe
2,Denmark,192.36,20.97,73.44,286.77,,47.69,99.45,80.07,84.12,6.78,28.52,81.8,#7172ad,europe,america
3,Netherlands,185.38,25.07,72.12,282.57,,39.89,87.99,75.56,75.66,7.15,27.4,87.11,#7172ad,europe,asia
4,Finland,184.96,12.09,72.75,269.8,,82.71,91.02,76.31,73.2,7.95,27.8,56.64,#7172ad,europe,africa
5,Australia,183.81,23.85,56.15,263.81,,41.93,104.63,78.14,77.75,7.2,34.78,92.7,#7172ad,europe,australia
6,Iceland,182.26,15.83,76.47,274.56,,63.17,77.06,66.36,94.86,6.36,19.77,68.81,#7172ad,europe,middleEast
7,Germany,180.27,27.75,63.63,271.65,,36.04,103.08,73.25,65.58,8.93,31.14,82.44,#7172ad,europe,
8,Austria,179.16,21.73,73.92,274.81,,46.02,77.25,76.75,71.04,10.75,25.55,77.15,#7172ad,europe,
9,New Zealand,176.81,23.62,56.7,257.13,,42.34,83.63,73.32,74.52,7.96,30.78,96.69,#00FF00,australia,
10,Norway,176.39,17.95,66.15,260.49,,55.71,83.11,76.83,100.9,8.04,26.91,68.68,#7172ad,europe,
11,Sweden,175.3,18.32,51,244.62,,54.59,98.14,68.71,71.74,7.81,29.43,74.92,#7172ad,europe,
12,Estonia,174.19,19.75,76.18,270.12,,50.63,63.46,73.33,53.68,9.25,24.51,64.28,#7172ad,europe,
13,Oman,173.68,37.21,80.01,290.9,,26.87,84.24,58.23,49.42,4.59,22.76,67.22,#FF0000,middleEast,
14,Luxembourg,173.63,23.92,64.29,261.84,,41.81,98.84,70.79,80.5,13.55,32.71,82.62,#7172ad,europe,
15,United States,170.72,35.33,51.84,257.89,,28.3,106.34,69.06,70.13,3.96,32.85,76.78,#509ee3,america,
16,Japan,169.48,38.82,77.88,286.18,,25.76,87.11,80.49,77.03,11.02,40.65,85.27,#ef8c8c,asia,
17,Slovenia,169.04,22.88,77.35,269.27,,43.71,59.48,65.25,53.88,11.5,26.48,77.56,#7172ad,europe,
18,Spain,168.48,39.66,66.13,274.27,,25.21,70.04,78.37,53.88,8.78,29.24,93.83,#7172ad,europe,
19,Czech Republic,162.64,35.86,74.46,272.96,,27.89,66.47,75.34,48.24,13.56,29.45,77.13,#7172ad,europe,
20,Portugal,162.52,30.48,69.42,262.42,,32.81,46.8,71.97,47.94,12.25,29.85,97.77,#7172ad,europe,
21,Lithuania,161.84,26.74,66.72,255.3,,37.4,58.74,71.94,45.65,10.98,26.03,67.76,#7172ad,europe,
22,United Kingdom,161.74,40.2,53.53,255.47,,24.88,88.78,74.83,69.65,8.86,34.4,88.06,#7172ad,europe,
23,Canada,160.38,28.76,57.05,246.19,,34.77,87.98,71.31,70.22,7.52,33.61,55.98,#509ee3,america,
24,United Arab Emirates,160.38,49.71,84.86,294.95,,20.12,92.17,68.73,58.33,4.42,36.19,45.23,#FF0000,middleEast,
25,Croatia,159.21,31.19,75.87,266.27,,32.06,47.55,64.06,48.94,13.92,26.89,89.05,#7172ad,europe,
26,France,156.65,42.44,47.59,246.68,,23.56,85.41,80.18,74.13,9.94,35.25,89.7,#7172ad,europe,
27,Qatar,154.53,59.9,86.22,300.65,,16.69,93.67,73.53,62.81,6.18,30.15,36.03,#FF0000,middleEast,
28,Ireland,154.52,34.81,54.52,243.85,,28.73,82.27,52.34,76.05,6.51,37.93,89.13,#7172ad,europe,
29,Belgium,151.86,50.11,54.62,256.59,,19.96,79.72,75.49,72.61,7.09,36.89,86.03,#7172ad,europe,
30,Singapore,151.59,33.31,72.36,257.26,,30.02,91.34,71.07,83.98,17.49,41.22,57.45,#ef8c8c,asia,
31,Slovakia,151.16,39.08,69.82,260.06,,25.59,54.7,60.33,44.68,11.18,28.21,78.13,#7172ad,europe,
32,Latvia,150.81,32.72,61.35,244.88,,30.56,51.65,62.43,48.45,8.13,31.21,74.7,#7172ad,europe,
33,Saudi Arabia,149.54,63.8,75.28,288.62,,15.67,91.85,60.92,50.41,2.79,28.33,45.98,#FF0000,middleEast,
34,Cyprus,147.1,56.85,67.88,271.83,,17.59,57.31,51.98,59.03,6.4,22.93,93.34,#7172ad,europe,
35,Israel,146.06,57.72,67.88,271.66,,17.33,75.58,73.83,88.05,13.51,36.37,94.01,#FF0000,middleEast,
36,Italy,141.07,54.14,54.8,250.01,,18.47,61.74,66.79,66.47,8.61,33.75,91.45,#7172ad,europe,
37,Taiwan,140.15,64.68,84.13,288.96,,15.46,58.35,86.43,62.35,21.81,31.71,81.6,#ef8c8c,asia,
38,Poland,140.02,54.74,70.21,264.97,,18.27,59.95,57.76,38.95,11.21,31.81,76.03,#7172ad,europe,
39,Hungary,137.15,47.89,65.71,250.75,,20.88,51.98,53.44,40.66,10.88,35.55,80.29,#7172ad,europe,
40,South Africa,136.02,56.57,23.94,216.53,,17.68,78.36,63.97,42.09,3.07,39.27,95.25,#509ee3,america,
41,Puerto Rico,133.77,50.03,37.8,221.6,,19.99,72.78,57.72,66.53,4,34.16,71.25,#509ee3,america,
42,Romania,133.38,58.64,71.21,263.23,,17.05,48.12,56.21,35.24,10.44,33.56,77.62,#7172ad,europe,
43,Bulgaria,130.09,64.28,61.26,255.63,,15.56,45.96,56.41,38.38,7.68,29.42,82.76,#7172ad,europe,
44,Greece,129.24,51.94,52.59,233.77,,19.25,39.73,57.31,56.22,10.12,33.8,94.18,#7172ad,europe,
45,Bosnia And Herzegovina,127.07,60.92,57.77,245.76,,16.41,44.1,54.3,36.12,10.78,25.99,80.48,#7172ad,europe,
46,South Korea,125.04,62.42,73.51,260.97,,16.02,76.85,82.72,73.22,29.4,40.02,68.39,#ef8c8c,asia,
47,Mexico,124.9,58.46,46.32,229.68,,17.11,38.62,72.83,35.35,8.69,39.29,84.01,#509ee3,america,
48,Turkey,124.05,65.49,60.31,249.85,,15.27,32.88,70.83,28.31,10.27,44.18,93.8,#7172ad,europe,
49,Uruguay,122.26,45.19,48.56,216.01,,22.13,30.07,68.36,52.07,20.08,37.31,98.04,#509ee3,america,
50,Costa Rica,122.07,44.66,46.14,212.87,,22.39,39.88,62.75,47.01,10.64,60.19,99.48,#509ee3,america,
51,Georgia,121.14,69.28,75.7,266.12,,14.43,31.15,54.25,30.18,12.03,35.4,84.2,#7172ad,europe,
52,Ecuador,118.84,58.22,42.76,219.82,,17.18,31.76,69.26,37.34,12.48,38.87,94.51,#509ee3,america,
53,Malaysia,117.98,62.11,44.29,224.38,,16.1,55.3,70.14,37.02,9.78,37.22,57.48,#ef8c8c,asia,
54,Kuwait,117.34,66.15,66.59,250.08,,15.12,78.57,59.42,48.68,12.26,33.34,20.22,#ef8c8c,asia,
55,Serbia,117.23,62.9,61.71,241.84,,15.9,37.83,52.49,36.21,16.52,30.85,83.23,#7172ad,europe,
56,Tunisia,114.56,70.84,55.71,241.11,,14.12,27.83,56.54,27.87,11.75,32.7,93.24,#9cc177,africa,
57,Panama,114.32,58.72,56.08,229.12,,17.03,33.09,61.15,51.43,11.18,37.12,67.84,#509ee3,america,
58,Jordan,113.92,76.26,59.76,249.94,,13.11,31.34,65.57,49.19,8.02,41.25,89.05,#FF0000,middleEast,
59,Ukraine,111.93,62.91,53.06,227.9,,15.9,37.22,54.34,30.71,10.92,37.71,70.69,#7172ad,europe,
60,India,110.99,73.05,55.37,239.41,,13.69,49.72,65.66,24.43,10.16,46.52,65.13,#ef8c8c,asia,
61,North Macedonia,109.6,79.69,59.13,248.42,,12.55,35.44,55.83,31.38,12.49,26.3,76.3,#7172ad,europe,
62,Malta,109.5,81.02,59.18,249.7,,12.34,44.18,45.56,67.84,13.11,29.1,97.44,#7172ad,europe,
63,Belarus,108.48,44.79,41.59,194.86,,22.33,31.78,45.57,30.89,16.69,30.15,64.37,#7172ad,europe,
64,Morocco,107.54,69.34,50.93,227.81,,14.42,34.36,46.69,33.83,12.6,36.3,90.04,#9cc177,africa,
65,Brazil,107.04,53.84,32.99,193.87,,18.57,27.85,57.84,33.24,16.26,41.28,97.15,#509ee3,america,
66,Argentina,105.42,51.19,35.86,192.47,,19.54,30.72,69.32,34.69,26.04,43.3,98.28,#509ee3,america,
67,China,105.07,80.57,70.61,256.25,,12.41,59.99,66.4,41.77,29.04,40.01,78.41,#ef8c8c,asia,
68,Azerbaijan,104.1,74.3,67.75,246.15,,13.46,27.26,44.85,29.73,16.77,39.61,91.4,#FF0000,middleEast,
69,Colombia,103.54,62.98,42.29,208.81,,15.88,28.85,67.19,26.72,16.89,47.8,88.3,#509ee3,america,
70,Russia,103.28,61.8,60.38,225.46,,16.18,37.41,59.08,35.26,14.84,44.5,48.95,#ef8c8c,asia,
71,Pakistan,102.57,73.67,57.99,234.23,,13.57,26.63,59.58,19.92,14.33,37.84,70.36,#FF0000,middleEast,
72,Thailand,100.97,75.52,60.69,237.18,,13.24,31.56,77.65,43.21,21.74,39.62,69.45,#ef8c8c,asia,
73,Chile,100.15,78.54,46.02,224.71,,12.73,33.27,63.97,43.9,17.17,35.82,90.21,#509ee3,america,
74,Lebanon,99.35,89.27,53.13,241.75,,11.2,35.12,62.75,69.62,12.2,38.53,94.74,#FF0000,middleEast,
75,Hong Kong,98.42,67.57,78.08,244.07,,14.8,65.74,66.34,80.71,46.93,42.56,83.64,#ef8c8c,asia,
76,Kazakhstan,93.77,73.4,46.55,213.72,,13.62,32.23,59.99,28.68,10.48,34.73,39.78,#FF0000,middleEast,
77,Kenya,92.54,69.34,43.79,205.67,,14.42,32.18,63.4,33.92,24.24,53.98,99.79,#9cc177,africa,
78,Indonesia,90.36,67.17,53.88,211.41,,14.89,21.07,60.44,35.85,21.92,43.46,68.48,#ef8c8c,asia,
79,Vietnam,89.95,85.52,54.19,229.66,,11.69,29.38,58.92,37.48,20.54,29.83,71.24,#ef8c8c,asia,
80,Egypt,89.87,83.64,53.43,226.94,,11.96,21.54,47.01,29.52,12.04,48.36,91.98,#9cc177,africa,
81,Philippines,83.74,73.36,57.67,214.77,,13.63,21.47,67.53,37.06,29.64,43.11,69.32,#ef8c8c,asia,
82,Peru,80.42,82.88,32.9,196.2,,12.07,28.17,56.2,32.53,19.45,48.76,97.69,#509ee3,america,
83,Venezuela,77.43,75.38,16.42,169.23,,13.27,15.41,39.31,43.2,14.35,34.1,99.93,#509ee3,america,
84,Sri Lanka,67.88,60.18,58.79,186.85,,16.62,19.27,72.1,31.29,45.97,57.1,59.11,#ef8c8c,asia,
85,Bangladesh,67.59,84.99,36.55,189.13,,11.77,25.3,42.25,33.13,13.54,55.92,71.29,#ef8c8c,asia,
86,Iran,64.89,75.4,50.89,191.18,,13.26,17.98,52.3,37.39,33,47.12,65.69,#FF0000,middleEast,
87,Nigeria,52.44,88.32,36.16,176.92,,11.32,9.34,48.49,30.49,16.11,61.97,60.75,#9cc177,africa,
